processo,data_movimento_incompetencia,classe_codigo,classe_nome,data_ajuizamento,orgao_julgador_codigo,orgao_julgador_nome,ano_ajuizamento,mes_ajuizamento,municipio_nome,status_arquivamento_definitivo
00000436820258160153,2025-01-07T20:43:50Z,111,Habilitação de Crédito,2025-01-07T16:19:42Z,9192,"IBAITI - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA",2025,2025-01-01T00:00:00Z,Ibaiti,TRUE
00000436820258160153,2025-01-13T14:15:49Z,111,Habilitação de Crédito,2025-01-07T16:19:42Z,9192,"IBAITI - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA",2025,2025-01-01T00:00:00Z,Ibaiti,TRUE
00002394520248160162,2025-03-12T11:19:26Z,129,Recuperação Judicial,2024-02-15T18:10:03Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-02-01T00:00:00Z,Londrina,TRUE
00002515920248160162,2025-02-28T12:36:11Z,111,Habilitação de Crédito,2024-02-19T15:21:04Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-02-01T00:00:00Z,Londrina,TRUE
00002610620248160162,2025-03-12T11:19:26Z,111,Habilitação de Crédito,2024-02-20T13:03:10Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-02-01T00:00:00Z,Londrina,TRUE
00002646720248160062,2024-07-15T17:55:11Z,129,Recuperação Judicial,2024-02-05T16:11:12Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-02-01T00:00:00Z,Curitiba,FALSE
00003052520248160162,2025-02-24T09:44:16Z,111,Habilitação de Crédito,2024-02-27T08:12:52Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-02-01T00:00:00Z,Londrina,TRUE
00003278320248160162,2025-02-25T15:20:13Z,114,Impugnação de Crédito,2024-02-29T11:09:28Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-02-01T00:00:00Z,Londrina,TRUE
00003396520248160108,2024-09-16T15:20:04Z,111,Habilitação de Crédito,2024-02-02T14:50:09Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Maringá,TRUE
00003502120248160100,2024-06-19T17:13:03Z,129,Recuperação Judicial,2024-02-15T17:05:30Z,13951,CURITIBA - 24ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Curitiba,FALSE
00003914620258160037,2025-01-28T18:36:12Z,129,Recuperação Judicial,2025-01-28T16:08:41Z,13951,CURITIBA - 24ª VARA CÍVEL,2025,2025-01-01T00:00:00Z,Curitiba,FALSE
00004123520248160141,2025-04-07T18:24:01Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-02-06T22:02:16Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-02-01T00:00:00Z,Cascavel,FALSE
00004426020258160133,2025-08-01T17:02:21Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03-28T17:33:13Z,13752,CASCAVEL - 4ª VARA CÍVEL,2025,2025-03-01T00:00:00Z,Cascavel,FALSE
00005411420248160085,2024-09-11T18:52:51Z,129,Recuperação Judicial,2024-06-20T15:06:08Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-06-01T00:00:00Z,Curitiba,FALSE
00005802120248160114,2025-09-01T14:44:31Z,129,Recuperação Judicial,2024-04-04T10:45:13Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-04-01T00:00:00Z,Curitiba,FALSE
00005916920248160043,2024-05-13T16:30:58Z,108,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-03-22T15:37:07Z,13952,CURITIBA - 25ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Curitiba,FALSE
00006514620248160074,2024-07-17T15:30:20Z,129,Recuperação Judicial,2024-03-05T18:18:29Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-03-01T00:00:00Z,Curitiba,FALSE
00007267820258160162,2025-04-24T12:55:51Z,111,Habilitação de Crédito,2025-04-17T13:16:40Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2025,2025-04-01T00:00:00Z,Londrina,TRUE
00007728920258160090,2025-07-17T17:36:30Z,111,Habilitação de Crédito,2025-02-10T08:58:06Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2025,2025-02-01T00:00:00Z,Londrina,FALSE
00007980220248160162,2025-01-27T18:33:41Z,111,Habilitação de Crédito,2024-05-15T08:42:05Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-05-01T00:00:00Z,Londrina,TRUE
00008298620248160076,2024-07-16T21:27:50Z,111,Habilitação de Crédito,2024-04-16T16:19:33Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-04-01T00:00:00Z,Cascavel,TRUE
00008510820248160089,2025-01-09T15:48:38Z,111,Habilitação de Crédito,2024-03-06T17:48:41Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-03-01T00:00:00Z,Londrina,FALSE
